1000,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-10M
1001,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-110K
1002,,,,180,291-11K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-11K
1003,,,,180,291-120-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-120
1004,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 120K OHM"
1004,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-120K
1005,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 3K3 OHM"
1005,,,,180,291-3.3K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-3.3K-RC
1007,,,,180,291-150K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-150K
1008,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 15K OHM"
1008,,,,180,291-15K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-15K-RC
1009,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-16K
101,,,,130,NULL,LME 170LM 7FT CHAIN RAIL 84175
1011,,,,180,291-180-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-180-RC
1012,,,,180,291-18K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-18K-RC
1013,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 1K OHM"
1013,,,,180,291-1K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-1K-RC
1014,,,,180,291-1M-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-1M
1015,,,,180,291-2.2K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-2.2K-RC
1016,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-2.4K
1017,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 2K7 OHM"
1017,,,,180,291-2.7K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-2.7K
1019,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-220
1020,,,,180,291-22K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-22K-RC
1021,,,,180,291-24K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-24K-RC
1022,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 270 OHM"
1022,,,,180,291-270-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-270-RC
1023,,,,180,291-270K-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-270K
1024,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 27K OHM"
1024,,,,180,NULL,CARBON FILM RESISTOR ¼W 5% XICON 291-27K
1025,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 3K6 OHM"
1025,,,,180,291-3.6-RC,CARBON FILM RESISTOR ¼W 5% XICON 291-3.6K
1026,,,,124,NULL,"CARBON FILM RESISTOR, 1/4W, 5% 3K OHM"
